site,SampleID,Species.Code,Etime,CO2d_ppm,CH4d_ppm,CO2_resp_outlier,CH4_resp_outlier
DRO,524,CASU,143,419.6844,1.752414,No,No
DRO,524,CASU,144,419.6307,1.752148,No,No
DRO,524,CASU,145,419.8676,1.752163,No,No
DRO,524,CASU,146,419.6506,1.751978,No,No
DRO,524,CASU,147,420.1293,1.753014,No,No
DRO,524,CASU,148,420.0124,1.752136,No,No
DRO,524,CASU,149,420.5724,1.753117,No,No
DRO,524,CASU,150,419.7493,1.750387,No,No
DRO,524,CASU,151,419.8108,1.751214,No,No
DRO,524,CASU,152,420.11,1.751211,No,No
DRO,524,CASU,153,420.4582,1.753094,No,No
DRO,524,CASU,154,420.5196,1.752481,No,No
DRO,524,CASU,155,420.8212,1.752623,No,No
DRO,524,CASU,156,420.2823,1.752565,No,No
DRO,524,CASU,157,420.4472,1.75218,No,No
DRO,524,CASU,158,420.3981,1.752694,No,No
DRO,524,CASU,159,419.9275,1.751793,No,No
DRO,524,CASU,160,420.3937,1.752213,No,No
DRO,524,CASU,161,420.4376,1.751045,No,No
DRO,524,CASU,162,420.3432,1.751992,No,No
DRO,524,CASU,163,420.1561,1.750093,No,No
DRO,524,CASU,164,420.6956,1.751829,No,No
DRO,524,CASU,165,419.9409,1.751976,No,No
DRO,524,CASU,166,420.4569,1.75287,No,No
DRO,524,CASU,167,419.936,1.75226,No,No
DRO,524,CASU,168,420.4413,1.752602,No,No
DRO,524,CASU,169,420.2808,1.751892,No,No
DRO,524,CASU,170,420.3586,1.751772,No,No
