site,SampleID,init_green_wt,Species.Code,block,termite_treatment_abbreviation,harvest,deployment_date,harvest_date,insect_present,termite_present,fungi_present,soil_present,root_present,fire_present_2021,fire_present_2019,Termite_Class,Fungi_Class,Fire_Class,Field_fresh_wt,Collar,fresh_volume,FW_Wood,Lab_As.,FW_Excess,FW_Carton,FW_Soil,Sawdust_FW,Post_drill_FW,DW_Wood,DW_Excess,DW_Carton,DW_Soil,damage_bag,init_drywt_fraction,termite.attack,season_condition,months,date_diff,station,dry.wet,init_dry_wt,harvest_dry_wt,mass.loss,pro.mass.loss,pct.mass.rem,FW_tot,DW_tot,wood_por,resp_dry_wt,deltaCO2,CO2.p,adj_r_CO2,deltaCH4,CH4.p,adj_r_CH4,mean_Tcham,mean_Pressure,CO2_resp_rate,CH4_resp_rate,CO2_resp_outlier,CH4_resp_outlier,FMC
DRO,744,377.29,ARPE,D,TE,2,2018-06-06,2019-12-02,0,0,1,NA,1,NA,NA,NA,NA,NA,183.52,5,0.33,178.03,1,0,NA,NA,3.63,174.14,144.83,NA,NA,NA,NA,0.573936689438719,0,DRY,18,544,DRO.ARPE.D,0.831687148271506,216.540573558334,148.065263006776,68.4753105515581,0.316223927120575,68.3776072879425,178.03,148.065263006776,1,148.065263006776,0.016769173926609524,8.854892303444358e-98,0.9261814470803194,-1.2950848393202331e-6,0.39587826558674044,-0.0016232559857694007,26.061637426900585,995.47755,7.984012068580912e-4,-2.2472983368714994e-8,No,nonsignificant fit,20.23751985085975
DRO,745,382.62,ARPE,A,TI,1,2018-06-06,2019-06-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,271.4567598432009,5,0.405,270.29,1,0,NA,NA,3.17,265.39,187.89,NA,NA,NA,NA,0.573936689438719,0,WET,12,378,DRO.ARPE.A,0.707976939598327,219.599656113043,191.359087004032,28.2405691090109,0.128600242864103,87.1399757135897,270.29,191.359087004032,1,191.359087004032,0.3427875839393281,7.133898591646689e-278,0.9994541549320863,-9.788609691110213e-7,0.5536486324150021,-0.0038250041249308087,21.53853801169591,1005.9725488234404,0.012714211656548919,-1.323239209626808e-8,No,nonsignificant fit,41.247538453350224
DRO,746,386.83,ARPE,A,TE,5,2018-06-06,2021-06-08,0,0,1,1,1,0,NA,0,1,0,269.51,5,0.37,187.99,2,50.32,0,0,4.3,185.64,111.41,29.02,0,0,F,0.573936689438719,0,WET,36,1098,DRO.ARPE.A,0.600140056022409,222.01592957558,112.820329131653,109.195600443927,0.49183678239968,50.816321760032,238.31,141.840329131653,0.7954037460455673,112.820329131653,0.099567886816905607,3.0230465326329968e-208,0.9963604212196543,4.0213574291432695e-6,0.010279093964559895,0.032640470621310924,25.214152046783628,1002.137,0.006218102969712558,9.153017465142809e-8,No,No,66.62777129521538
DRO,747,370.79,ARPE,B,TI,1,2018-06-06,2019-06-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,290.4350703045625,5,0.405,290.39,1,0,NA,NA,3.21,285.77,166.73,1.3,NA,NA,NA,0.573936689438719,0,WET,12,378,DRO.ARPE.B,0.583441228960353,212.809985076983,169.425498477797,43.3844865991858,0.203864901280322,79.6135098719678,290.39,170.725498477797,0.9923854373740835,169.425498477797,0.0899451664386689,5.230633528432846e-162,0.9871700698254988,2.7848489212085924e-6,0.08477696590044292,0.011662774765165862,22.18105263157895,1005.9725488234404,0.0037598163551732506,4.242710881675802e-8,No,nonsignificant fit,71.39686918970773
DRO,748,380.71,ARPE,B,TE,5,2018-06-06,2021-06-08,1,0,1,1,0,0,NA,0,1,0,251.38,5,0.37,232.94,2A,5.09,0,0,15.23,216.99,86.01,2.69,0,0,F,0.573936689438719,0,WET,36,1098,DRO.ARPE.B,0.396377713258676,218.503437036215,92.3322245264759,126.171212509739,0.577433537069841,42.2566462930159,238.03,95.0222245264759,0.9716908332402754,92.3322245264759,0.17727569059447498,3.4758966893531e-237,0.9983458369925651,1.3300743994046976e-5,6.365580354922047e-17,0.33545813396413926,25.95719298245614,1002.635,0.013500735153761134,3.691791467095094e-7,No,No,152.28461806766649
DRO,749,368.64,ARPE,E,TI,1,2018-06-06,2019-06-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,320.0450114024879,5,0.405,321.75,1,0,NA,NA,4.78,314.89,153.58,NA,NA,NA,NA,0.573936689438719,0,WET,12,378,DRO.ARPE.E,0.487725872526914,211.576021194689,156.925799485535,54.6502217091547,0.258300640122475,74.1699359877525,321.75,156.925799485535,1,156.925799485535,0.3736894818441453,1.0073884135577125e-269,0.9993184194109638,3.906554347565228e-6,0.026875143492192496,0.022906589817753842,22.892456140350877,1014.447,0.016966116552389447,6.464254375339518e-8,No,No,105.03320744888609
DRO,750,399.86,ARPE,E,TE,5,2018-06-06,2021-06-08,1,0,1,1,1,0,NA,0,1,0,251.96,5,0.37,230.28,2,1.23,0,0,7.22,220.05,131.66,0.35,0,0,F,0.573936689438719,0,WET,36,1098,DRO.ARPE.E,0.598318563962736,229.494324638966,137.780798909339,91.7135257296274,0.399633088416929,60.0366911583071,231.51,138.130798909339,0.9974661697263496,137.780798909339,0.25460760745914046,5.319436910785116e-239,0.9984256661433024,1.342849257203075e-6,0.37252346035175754,-0.0011809813544738645,24.6793567251462,1006.062,0.013094395266618352,2.5170644109826643e-8,No,nonsignificant fit,67.1350448123953
DRO,751,379.91,ARPE,C,TI,6,2018-06-06,2021-12-07,1,0,1,1,1,NA,NA,0,1,0,195.85,5,0.33,174.13,2A,0.84,NA,NA,5.8447,166.3,116.174,0.254,NA,NA,NA,0.573936689438719,0,DRY,42,1280,DRO.ARPE.C,0.698580877931449,218.044287684664,121.643888274203,96.4003994104605,0.442113849594973,55.7886150405027,174.97,121.897888274203,0.9979162887594193,121.643888274203,0.3349063114695083,4.433910988515759e-271,0.9993431516899732,2.8880504955959474e-6,0.16850291900885514,0.00533937587980049,28.237777777777776,998.94235,0.019335594784945384,6.077038413869571e-8,No,nonsignificant fit,43.147347943602135
DRO,752,404.68,ARPE,C,TE,5,2018-06-06,2021-06-07,1,0,1,1,1,0,NA,0,1,0,264.83,5,0.38,182.96,2,54.83,0,0,6.87,177.31,72.57,25.09,0,0,F,0.573936689438719,0,WET,36,1097,DRO.ARPE.C,0.409283176357791,232.260699482061,74.8824499464215,157.378249535639,0.677593109323236,32.2406890676764,237.79000000000002,99.9724499464215,0.7490308578668768,74.8824499464215,0.32740352701178416,5.032187726022461e-275,0.9994100998469683,2.7830009359943413e-6,0.11353428026047457,0.008922563169187714,23.905497076023394,1004.6535,0.030940662712296636,9.585452197355569e-8,No,nonsignificant fit,144.32961278765336
DRO,754,403.18,ARPE,D,TE,6,2018-06-06,2021-12-07,0,0,1,1,1,NA,NA,0,2,0,202.69,5,0.37,169.04,2,16.89,NA,NA,4.235,162.47,118.634,10.044,NA,NA,NA,0.573936689438719,0,DRY,42,1280,DRO.ARPE.D,0.730190188957962,231.399794447903,123.431349541454,107.968444906449,0.466588335413396,53.3411664586604,185.93,133.475349541454,0.924750150237437,123.431349541454,0.2036052261981905,2.4449407005615184e-238,0.9983969914175896,1.2147286821732488e-6,0.5453885197354491,-0.0037367054145027723,27.487485380116958,1000.1948,0.011511990782537394,2.503189874172034e-8,No,nonsignificant fit,36.950621238430585
